ECE,MCE,area_between_curves,n_bins,total_patients,model,cancer,fold
0.19536791451342908,0.4447150484812098,0.24024305993065564,10,75,AMIL-concat,BLCA,0
0.24090961214299114,0.5537633192194849,0.2540405495710822,10,75,AMIL-concat,BLCA,1
0.17226161616690494,0.5224595018058231,0.18659671289535046,10,75,AMIL-concat,BLCA,2
0.1621169920614977,0.5295614684010788,0.19741807166463657,10,74,AMIL-concat,BLCA,3
0.28945892143794477,0.5731821246291906,0.3134726613286564,10,74,AMIL-concat,BLCA,4
0.13475553815647281,0.5799937915095124,0.17181297036932788,10,192,AMIL-concat,BRCA,0
0.15669293870221804,0.7064656381562862,0.26619101391493855,10,191,AMIL-concat,BRCA,1
0.18106680919146437,0.712029248205582,0.26220369624290757,10,191,AMIL-concat,BRCA,2
0.16653243575961924,0.5089780025046692,0.25040246895861923,10,191,AMIL-concat,BRCA,3
0.10454463449004589,0.4875954575060368,0.14844096516252456,10,191,AMIL-concat,BRCA,4
0.19297199033129736,0.6643439863428121,0.16105380208913084,10,114,AMIL-concat,GBMLGG,0
0.2439021846669324,0.5169746923270688,0.2689505399005122,10,114,AMIL-concat,GBMLGG,1
0.253854531421028,0.4752966370478623,0.2657905334025163,10,114,AMIL-concat,GBMLGG,2
0.13151059704299556,0.2529988500833128,0.15076059453083512,10,114,AMIL-concat,GBMLGG,3
0.22723687037277815,0.48073483033069225,0.262774467390603,10,113,AMIL-concat,GBMLGG,4
0.2331777957515254,0.7530898173094579,0.35873038819984615,10,91,AMIL-concat,LUAD,0
0.16907392339472294,0.6953216063443156,0.21210756993681662,10,91,AMIL-concat,LUAD,1
0.19904236210528867,0.5361108569117394,0.23341066543087158,10,91,AMIL-concat,LUAD,2
0.14030138573246503,0.36976870616371993,0.143311382856773,10,90,AMIL-concat,LUAD,3
0.2222356941319294,0.8182803395934012,0.2697854283077931,10,90,AMIL-concat,LUAD,4
0.07670259693742294,0.18660108358695127,0.008028993076978944,10,96,AMIL-concat,UCEC,0
0.09894492629101266,0.22428053071915122,0.027543670413201795,10,96,AMIL-concat,UCEC,1
0.07352092459526595,0.23097386413132182,0.032581651690112054,10,96,AMIL-concat,UCEC,2
0.08681354381207386,0.2156270881688409,0.02586246251322869,10,96,AMIL-concat,UCEC,3
0.093883783464092,0.25810148183932524,0.016959389181294672,10,96,AMIL-concat,UCEC,4
0.09121870404948404,0.25390111851339636,0.003093212959664804,10,75,AMIL-sig,BLCA,0
0.1188066679087995,0.2543030770807069,0.0027325377386688723,10,75,AMIL-sig,BLCA,1
0.13646664677175896,0.30790259106984574,0.003935520440553409,10,75,AMIL-sig,BLCA,2
0.14538046996802392,0.27709490943780424,0.0031017252901118673,10,74,AMIL-sig,BLCA,3
0.10541478791711752,0.21856379263693715,0.0029772858716777483,10,74,AMIL-sig,BLCA,4
0.07679892352722462,0.1482751965432334,0.0031022860036635804,10,192,AMIL-sig,BRCA,0
0.07574075370313728,0.15626620765999177,0.00571108162574502,10,191,AMIL-sig,BRCA,1
0.06916779595697078,0.16150691963193786,0.006484590743893713,10,191,AMIL-sig,BRCA,2
0.09075326893423652,0.24709491158492025,0.004521565425021574,10,191,AMIL-sig,BRCA,3
