model,analysis,horizon,horizon_t,fold,p_value,metric_value,method
SurvPath,platt_transfer,1yr,12.0,3,0.1255557272698492,,platt_fit_at_median(41.6)
SurvPath,platt_transfer,1yr,12.0,4,0.002285018232785041,,platt_fit_at_median(41.6)
SurvPath,platt_transfer,3yr,36.0,0,0.41974138132617766,,platt_fit_at_median(41.6)
SurvPath,platt_transfer,3yr,36.0,1,0.07621730296514073,,platt_fit_at_median(41.6)
SurvPath,platt_transfer,3yr,36.0,2,0.06793855423700068,,platt_fit_at_median(41.6)
SurvPath,platt_transfer,3yr,36.0,3,0.25796801429253624,,platt_fit_at_median(41.6)
SurvPath,platt_transfer,3yr,36.0,4,0.24614818340710365,,platt_fit_at_median(41.6)
SurvPath,platt_transfer,5yr,60.0,0,0.0009410480547245026,,platt_fit_at_median(41.6)
SurvPath,platt_transfer,5yr,60.0,1,0.12759345201033534,,platt_fit_at_median(41.6)
SurvPath,platt_transfer,5yr,60.0,2,0.43671561393412517,,platt_fit_at_median(41.6)
SurvPath,platt_transfer,5yr,60.0,3,0.00025330143948321115,,platt_fit_at_median(41.6)
SurvPath,platt_transfer,5yr,60.0,4,0.0037657380588493883,,platt_fit_at_median(41.6)
SurvPath,platt_transfer,median,41.55716171264648,0,0.11422344687840091,,platt_fit_at_median(41.6)
SurvPath,platt_transfer,median,41.55716171264648,1,0.36769947463362174,,platt_fit_at_median(41.6)
SurvPath,platt_transfer,median,41.55716171264648,2,0.0026052230872884996,,platt_fit_at_median(41.6)
SurvPath,platt_transfer,median,41.55716171264648,3,0.11577590797439496,,platt_fit_at_median(41.6)
SurvPath,platt_transfer,median,41.55716171264648,4,0.17885697936510847,,platt_fit_at_median(41.6)
MCAT,1-calibration,1yr,12.0,0,0.2347656549557775,,original
MCAT,1-calibration,1yr,12.0,1,0.13523355413434923,,original
MCAT,1-calibration,1yr,12.0,2,0.005476099231556675,,original
MCAT,1-calibration,1yr,12.0,3,0.09340755498948583,,original
MCAT,1-calibration,1yr,12.0,4,0.01937418594370477,,original
MCAT,1-calibration,3yr,36.0,0,0.0,,original
MCAT,1-calibration,3yr,36.0,1,6.011744269063257e-08,,original
MCAT,1-calibration,3yr,36.0,2,0.0,,original
MCAT,1-calibration,3yr,36.0,3,9.2148511043888e-15,,original
MCAT,1-calibration,3yr,36.0,4,9.370282327836321e-13,,original
MCAT,1-calibration,5yr,60.0,0,0.0,,original
MCAT,1-calibration,5yr,60.0,1,1.1102230246251565e-16,,original
MCAT,1-calibration,5yr,60.0,2,0.0,,original
MCAT,1-calibration,5yr,60.0,3,0.0,,original
MCAT,1-calibration,5yr,60.0,4,0.0,,original
MCAT,1-calibration,median,41.55716162943495,0,0.0,,original
MCAT,1-calibration,median,41.55716162943495,1,4.3467703214616904e-08,,original
MCAT,1-calibration,median,41.55716162943495,2,0.0,,original
MCAT,1-calibration,median,41.55716162943495,3,0.0,,original
MCAT,1-calibration,median,41.55716162943495,4,1.1102230246251565e-16,,original
MCAT,MACE,1yr,12.0,0,,0.054225338872027774,original
MCAT,MACE,1yr,12.0,1,,0.05821232097732786,original
MCAT,MACE,1yr,12.0,2,,0.05780996946204728,original
MCAT,MACE,1yr,12.0,3,,0.057211454683334065,original
MCAT,MACE,1yr,12.0,4,,0.07457571053611722,original
MCAT,MACE,3yr,36.0,0,,0.15700594987521974,original
MCAT,MACE,3yr,36.0,1,,0.13558318864370209,original
MCAT,MACE,3yr,36.0,2,,0.1940470111020037,original
MCAT,MACE,3yr,36.0,3,,0.15689281663515853,original
MCAT,MACE,3yr,36.0,4,,0.18413409423281724,original
MCAT,MACE,5yr,60.0,0,,0.20434139197696985,original
MCAT,MACE,5yr,60.0,1,,0.18247057153231558,original
MCAT,MACE,5yr,60.0,2,,0.24581933089443456,original
MCAT,MACE,5yr,60.0,3,,0.20985336490605042,original
MCAT,MACE,5yr,60.0,4,,0.19762485221666146,original
MCAT,MACE,median,41.55716162943495,0,,0.1650920096270534,original
MCAT,MACE,median,41.55716162943495,1,,0.14270404315041033,original
