mean_predicted,km_observed,ci_lower,ci_upper,n_patients,model,cancer,fold
0.5133306234705171,0.5555555555555555,0.07344165011273368,0.8760704399907502,20,SurvPath,BRCA,0
0.674028577678109,0.9473684210526316,0.6811867998062862,0.992414635519268,20,SurvPath,BRCA,0
0.7579812197969839,0.768627450980392,0.41457232108653247,0.9243682300135846,20,SurvPath,BRCA,0
0.8146274742442572,1.0,1.0,1.0,20,SurvPath,BRCA,0
0.8525116684947711,0.8814814814814815,0.601933044647166,0.9691351652843214,20,SurvPath,BRCA,0
0.8770208136496436,0.8615384615384614,0.5497023409435478,0.9635608237409667,20,SurvPath,BRCA,0
0.8950106460000763,0.8888888888888886,0.4329650902258062,0.9835640285255789,20,SurvPath,BRCA,0
0.9047505369191947,1.0,1.0,1.0,20,SurvPath,BRCA,0
0.9140988118908775,0.7815789473684212,0.45232283213795277,0.926305901985285,20,SurvPath,BRCA,0
0.926740098223044,1.0,1.0,1.0,21,SurvPath,BRCA,0
0.4855285219429872,0.7612781954887219,0.3811313692079859,0.9257737119354058,20,SurvPath,BRCA,1
0.6565756156511181,0.7999999999999997,0.40869078163340444,0.9458726458389115,20,SurvPath,BRCA,1
0.733066572477921,0.7892307692307692,0.46447551772793916,0.9295457327540465,20,SurvPath,BRCA,1
0.7774324452655964,0.8357142857142859,0.48041041283260133,0.9570167463797732,20,SurvPath,BRCA,1
0.8078567939940114,0.9285714285714287,0.5907668674267574,0.98961982313685,20,SurvPath,BRCA,1
0.8339691692839943,0.8038277511961722,0.49740024584875014,0.9339968605327599,20,SurvPath,BRCA,1
0.8560307488405583,0.8888888888888886,0.4329650902258062,0.9835640285255789,20,SurvPath,BRCA,1
0.8769153723329227,1.0,1.0,1.0,20,SurvPath,BRCA,1
0.8981627918256493,1.0,1.0,1.0,20,SurvPath,BRCA,1
0.9198134735018255,1.0,1.0,1.0,21,SurvPath,BRCA,1
0.42349987137812883,0.6954248366013068,0.3222676302810237,0.890017293435134,20,SurvPath,BRCA,2
0.5225625587747068,0.9230769230769231,0.5663594661305215,0.9887940623036894,20,SurvPath,BRCA,2
0.6094842811307983,0.5079365079365079,0.08629373013203002,0.8292001939932891,20,SurvPath,BRCA,2
0.6558377176284778,0.7499999999999999,0.2982778922782436,0.933874906953504,20,SurvPath,BRCA,2
0.7048174633874397,0.9230769230769231,0.5663594661305215,0.9887940623036894,20,SurvPath,BRCA,2
0.7326214393174328,0.8571428571428572,0.3340538792922218,0.9785610585261756,20,SurvPath,BRCA,2
0.7536667412261877,1.0,0.5389771805707405,0.9878255654004581,20,SurvPath,BRCA,2
0.7820816513336084,1.0,1.0,1.0,20,SurvPath,BRCA,2
0.8039575389827242,0.95,0.6947431932565701,0.9928022285933972,20,SurvPath,BRCA,2
0.8268417911327142,0.9333333333333331,0.6126412437748727,0.9903322366500168,21,SurvPath,BRCA,2
0.3748684194983028,0.8750000000000001,0.38700001403202483,0.9813929658789661,20,SurvPath,BRCA,3
0.5489790467559025,0.6763599537037039,0.30815572214643994,0.8781887885414114,20,SurvPath,BRCA,3
0.689896614980461,0.8522727272727274,0.518970534716174,0.9617929559928443,20,SurvPath,BRCA,3
0.7719904490597909,0.7758333333333333,0.4207102919747657,0.9282927646210891,20,SurvPath,BRCA,3
0.8199351553042918,0.9375000000000001,0.6323454417389031,0.9909531417446664,20,SurvPath,BRCA,3
0.8568765785867966,0.8522727272727274,0.518970534716174,0.9617929559928443,20,SurvPath,BRCA,3
0.8835691620172712,1.0,1.0,1.0,20,SurvPath,BRCA,3
0.896171520358506,0.9444444444444446,0.666390168335329,0.991982923674006,20,SurvPath,BRCA,3
0.9067053936134972,0.9375000000000001,0.6323454417389031,0.9909531417446664,20,SurvPath,BRCA,3
0.9182647269541511,1.0,1.0,1.0,21,SurvPath,BRCA,3
0.3408967248848683,0.6736842105263156,0.3755916102109769,0.852718618360177,20,SurvPath,BRCA,4
0.5718912591849195,0.7552447552447553,0.4160900254697453,0.9140529451953577,20,SurvPath,BRCA,4
0.7114286061251663,0.9230769230769231,0.5663594661305215,0.9887940623036894,20,SurvPath,BRCA,4
0.7842367210588913,0.8166666666666665,0.41973399344200796,0.953852486873075,20,SurvPath,BRCA,4
0.8282438200810305,1.0,1.0,1.0,20,SurvPath,BRCA,4
0.8594802432873851,1.0,1.0,1.0,20,SurvPath,BRCA,4
0.8824214793097453,0.9444444444444446,0.666390168335329,0.991982923674006,20,SurvPath,BRCA,4
0.9019658424282844,0.9166666666666667,0.5389771805707405,0.9878255654004581,20,SurvPath,BRCA,4
0.9231397022610981,0.8888888888888886,0.4329650902258062,0.9835640285255789,20,SurvPath,BRCA,4
0.9399309934815792,1.0,1.0,1.0,20,SurvPath,BRCA,4
0.0860744088541758,0.7647058823529412,0.4099648987015034,0.9224634711141256,20,MCAT,BRCA,0
0.3758564518292431,0.6501547987616099,0.17387964185852206,0.7832830685860126,20,MCAT,BRCA,0
0.6824267539298869,0.8357142857142859,0.48041041283260133,0.9570167463797732,20,MCAT,BRCA,0
0.7945812347510333,0.8571428571428572,0.3340538792922218,0.9785610585261756,20,MCAT,BRCA,0
0.8615297141816424,0.9375000000000001,0.6323454417389031,0.9909531417446664,20,MCAT,BRCA,0
0.9040667117832134,0.8250000000000001,0.46094567705283446,0.9533403904972328,20,MCAT,BRCA,0
0.9129408388875359,1.0,1.0,1.0,20,MCAT,BRCA,0
0.9141395615912463,1.0,1.0,1.0,20,MCAT,BRCA,0
0.9144367613584053,0.9285714285714287,0.5907668674267574,0.98961982313685,20,MCAT,BRCA,0
0.9145213398734752,1.0,1.0,1.0,21,MCAT,BRCA,0
0.2299624549922965,0.7476923076923077,0.44504926941417755,0.9008377124969225,20,MCAT,BRCA,1
0.6247255079173184,0.8511904761904764,0.5234352921219435,0.9606918275594276,20,MCAT,BRCA,1
0.7711362761979736,0.8571428571428572,0.3340538792922218,0.9785610585261756,20,MCAT,BRCA,1
0.8471999383499472,0.9166666666666667,0.5389771805707405,0.9878255654004581,20,MCAT,BRCA,1
0.8939006895492689,1.0,1.0,1.0,20,MCAT,BRCA,1
0.9015422469304493,0.8444444444444441,0.47228032800129344,0.96261045095107,20,MCAT,BRCA,1
0.9030235330060302,0.8289473684210528,0.42917075971334623,0.9592491148506221,20,MCAT,BRCA,1
0.9033738641687986,0.8749999999999999,0.5859814368090156,0.9671888460291236,20,MCAT,BRCA,1
0.9035100155034111,0.9090909090909092,0.5080802057699292,0.9866738226678231,20,MCAT,BRCA,1
0.9035678267207323,1.0,1.0,1.0,21,MCAT,BRCA,1
0.05852078541541328,0.6787878787878785,0.27636328195132437,0.796055724346211,20,MCAT,BRCA,2
0.27113491767747816,0.8020833333333335,0.4025538720463128,0.9479496391798246,20,MCAT,BRCA,2
0.6587139530289238,0.9166666666666667,0.4025538720463128,0.9479496391798246,20,MCAT,BRCA,2
0.743754767931885,1.0,1.0,1.0,20,MCAT,BRCA,2
0.8460290192611651,0.7792207792207794,0.3543995222431069,0.9417727989089287,20,MCAT,BRCA,2
0.8738632258152089,0.9444444444444446,0.666390168335329,0.991982923674006,20,MCAT,BRCA,2
0.8808656034005251,1.0,1.0,1.0,20,MCAT,BRCA,2
0.8828759539160297,0.6666666666666666,0.05407342678651668,0.945206387272047,20,MCAT,BRCA,2
0.8834396421167048,0.8230531078828291,0.5412886873715134,0.9400884197543008,20,MCAT,BRCA,2
0.8835691664030876,1.0,1.0,1.0,21,MCAT,BRCA,2
0.06827189300707456,0.672268907563025,0.2615001959578263,0.88908696152387,20,MCAT,BRCA,3
0.415469271166747,0.8444444444444444,0.5911421112087242,0.947073406522508,20,MCAT,BRCA,3
0.671609654528355,0.6526806526806526,0.3140949106876608,0.8545346444887173,20,MCAT,BRCA,3
0.8210736992384522,1.0,1.0,1.0,20,MCAT,BRCA,3
0.8628179865390588,1.0,0.3340538792922218,0.9785610585261756,20,MCAT,BRCA,3
0.878843660991458,0.9411764705882352,0.6501789018555798,0.9914991055661495,20,MCAT,BRCA,3
0.8825004110658881,0.95,0.6947431932565701,0.9928022285933972,20,MCAT,BRCA,3
0.8828004971084834,1.0,1.0,1.0,20,MCAT,BRCA,3
0.8828484716955325,0.44074074074074077,0.011023340676968288,0.8616462090643022,20,MCAT,BRCA,3
0.8828733261794872,1.0,1.0,1.0,21,MCAT,BRCA,3
0.18790756832096497,0.7714285714285715,0.344942874677329,0.9386873807738738,20,MCAT,BRCA,4
0.3674734607796856,0.8441558441558444,0.5040503169361824,0.9589689023035121,20,MCAT,BRCA,4
0.5988754907564089,0.7658119658119654,0.42588717053494474,0.9199792732467724,20,MCAT,BRCA,4
0.7672961160551534,1.0,1.0,1.0,20,MCAT,BRCA,4
0.8533421561835647,0.9411764705882352,0.6501789018555798,0.9914991055661495,20,MCAT,BRCA,4
0.914372736109601,0.9,0.47300927136205023,0.9852813933673431,20,MCAT,BRCA,4
0.9293317200714194,0.8307692307692308,0.47173841058918564,0.9552795097611296,20,MCAT,BRCA,4
0.9298943784208229,0.757894736842105,0.4051554901651096,0.9184618181763593,20,MCAT,BRCA,4
